epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
12,1878.36,1.22109,1.77499,1.6832,0.93793,0.96507,0.9838,0.59597,1.37977,1.8686,1.69566,4.555e-05,4.555e-05,4.555e-05
13,2027.96,1.18507,1.69432,1.65532,0.93523,0.96318,0.98548,0.61843,1.35856,1.82653,1.69505,4.06e-05,4.06e-05,4.06e-05
14,2176.53,1.13824,1.63467,1.62898,0.93713,0.9714,0.98626,0.63597,1.30402,1.79165,1.63501,3.565e-05,3.565e-05,3.565e-05
15,2325.89,1.10161,1.57964,1.61582,0.94999,0.9718,0.988,0.64419,1.28945,1.73677,1.63042,3.07e-05,3.07e-05,3.07e-05
16,2475.39,1.08343,1.55968,1.59733,0.95169,0.9723,0.98955,0.65554,1.25049,1.71326,1.61162,2.575e-05,2.575e-05,2.575e-05
17,2624.83,1.08774,1.54433,1.60222,0.9554,0.9772,0.99029,0.66049,1.23805,1.69295,1.60835,2.08e-05,2.08e-05,2.08e-05
18,2774.25,1.07984,1.52674,1.6011,0.95129,0.97817,0.99009,0.66263,1.22995,1.68948,1.60587,1.585e-05,1.585e-05,1.585e-05
19,2926.46,1.06348,1.50746,1.57054,0.95947,0.98012,0.99091,0.66837,1.21957,1.67185,1.59322,1.09e-05,1.09e-05,1.09e-05
20,3078.21,1.07474,1.5109,1.56608,0.95557,0.98105,0.98936,0.66973,1.21779,1.66829,1.60173,5.95e-06,5.95e-06,5.95e-06
1,169.012,2.00909,3.27361,2.5235,0.00188,0.56468,0.00638,0.00099,3.55357,5.03226,3.6616,0.040046,1.99479e-05,1.99479e-05
2,320.254,1.61163,2.74195,2.24438,0.16619,0.05137,0.07032,0.01324,2.97709,4.15523,3.16994,0.030064,3.79705e-05,3.79705e-05
3,468.564,1.42434,2.466,2.09076,0.39132,0.39279,0.33278,0.07671,2.59582,3.63407,2.86084,0.0200801,5.40131e-05,5.40131e-05
4,614.323,1.34706,2.16697,2.01823,0.49469,0.63245,0.57603,0.15475,2.39212,3.32853,2.56612,0.0100941,6.80757e-05,6.80757e-05
5,758.95,1.18932,1.80613,1.86552,0.61918,0.80222,0.71656,0.25491,2.14454,2.81218,2.17108,0.0001062,8.01582e-05,8.01582e-05
6,902.971,1.05601,1.50237,1.75628,0.75319,0.88003,0.85402,0.35917,1.87091,2.37208,1.93549,7.525e-05,7.525e-05,7.525e-05
7,1047.52,0.96306,1.35737,1.66816,0.76089,0.9143,0.88741,0.40654,1.75195,2.19433,1.84481,7.03e-05,7.03e-05,7.03e-05
8,1192.04,0.88646,1.26083,1.58942,0.81107,0.9344,0.92438,0.42339,1.71238,2.07773,1.73717,6.535e-05,6.535e-05,6.535e-05
9,1336.68,0.85561,1.20876,1.56806,0.78742,0.94396,0.9217,0.44362,1.64449,2.00609,1.76819,6.04e-05,6.04e-05,6.04e-05
10,1486.27,0.8318,1.17109,1.54301,0.80795,0.93489,0.93663,0.45947,1.60219,1.9805,1.74555,5.545e-05,5.545e-05,5.545e-05
11,1647.72,1.35394,1.95002,1.72283,0.90272,0.95543,0.97266,0.55381,1.44802,1.94375,1.7688,5.05e-05,5.05e-05,5.05e-05
12,1789.79,1.22109,1.77499,1.6832,0.93793,0.96507,0.9838,0.59597,1.37977,1.8686,1.69566,4.555e-05,4.555e-05,4.555e-05
13,1931.86,1.18507,1.69432,1.65532,0.93523,0.96318,0.98548,0.61843,1.35856,1.82653,1.69505,4.06e-05,4.06e-05,4.06e-05
14,2073.71,1.13824,1.63467,1.62898,0.93713,0.9714,0.98626,0.63597,1.30402,1.79165,1.63501,3.565e-05,3.565e-05,3.565e-05
15,2215.86,1.10161,1.57964,1.61582,0.94999,0.9718,0.988,0.64419,1.28945,1.73677,1.63042,3.07e-05,3.07e-05,3.07e-05
16,2358.41,1.08343,1.55968,1.59733,0.95169,0.9723,0.98955,0.65554,1.25049,1.71326,1.61162,2.575e-05,2.575e-05,2.575e-05
17,2508.02,1.08774,1.54433,1.60222,0.9554,0.9772,0.99029,0.66049,1.23805,1.69295,1.60835,2.08e-05,2.08e-05,2.08e-05
18,2653.6,1.07984,1.52674,1.6011,0.95129,0.97817,0.99009,0.66263,1.22995,1.68948,1.60587,1.585e-05,1.585e-05,1.585e-05
19,2794.49,1.06348,1.50746,1.57054,0.95947,0.98012,0.99091,0.66837,1.21957,1.67185,1.59322,1.09e-05,1.09e-05,1.09e-05
20,2935.79,1.07474,1.5109,1.56608,0.95557,0.98105,0.98936,0.66973,1.21779,1.66829,1.60173,5.95e-06,5.95e-06,5.95e-06
